Date,Open,High,Low,Close,Volume
2026-08-03 22:45:00,28985.75,28987.5,28977.25,28982,0
2026-08-03 22:46:00,28981.5,28983,28965.25,28970.5,0
2026-08-03 22:47:00,28970.25,28971,28963.75,28967,0
2026-08-03 22:48:00,28966.25,28973,28960,28969.75,0
2026-08-03 22:49:00,28971.75,28978.5,28970,28971.5,0
2026-08-03 22:50:00,28971,28977.5,28965.25,28975.5,0
2026-08-03 22:51:00,28976.75,28990,28976.75,28989.75,0
2026-08-03 22:52:00,28989.5,28992,28981.5,28983.75,0
2026-08-03 22:53:00,28980.25,28987,28980.25,28984.5,0
2026-08-03 22:54:00,28984.5,28987.5,28980.25,28987.5,0
2026-08-03 22:55:00,28986.75,28988,28982.25,28982.75,0
2026-08-03 22:56:00,28982.25,28985,28978,28983.75,0
2026-08-03 22:57:00,28984,28985.75,28980.25,28984,0
2026-08-03 22:58:00,28984,28984.5,28973.5,28976.5,0
2026-08-03 22:59:00,28976.75,28977.75,28970.25,28972.75,0
2026-08-03 23:00:00,28972.5,28986.75,28969.75,28984,0
2026-08-03 23:01:00,28984,28986.5,28974,28984.5,0
2026-08-03 23:02:00,28986,28992,28981.75,28988,0
2026-08-03 23:03:00,28989,28989,28979.5,28981.75,0
2026-08-03 23:04:00,28980.75,28981.75,28963.75,28966.25,0
2026-08-03 23:05:00,28969.5,28971.75,28957.5,28967,0
2026-08-03 23:06:00,28967.75,28969,28958.25,28958.25,0
2026-08-03 23:07:00,28960.25,28970.75,28958.25,28969.75,0
2026-08-03 23:08:00,28969,28969,28950.75,28952.75,0
2026-08-03 23:09:00,28951,28959.5,28950,28959.25,0
2026-08-03 23:10:00,28958.5,28960,28950,28955,0
2026-08-03 23:11:00,28956,28959.75,28936,28937,0
2026-08-03 23:12:00,28937.25,28939,28934,28938.25,0
2026-08-03 23:13:00,28938.25,28939,28932.75,28937.5,0
2026-08-03 23:14:00,28938.75,28946.75,28937.5,28941.25,0
2026-08-03 23:15:00,28942.75,28948.25,28935.5,28947.25,0
2026-08-03 23:16:00,28946.5,28951,28941.75,28949.75,0
2026-08-03 23:17:00,28950.5,28952.25,28935.5,28937.5,0
2026-08-03 23:18:00,28936.75,28944.25,28931.75,28944,0
2026-08-03 23:19:00,28944.5,28945,28941,28944,0
2026-08-03 23:20:00,28943.25,28957,28939.25,28954.5,0
2026-08-03 23:21:00,28955,28959,28951,28954.5,0
2026-08-03 23:22:00,28954,28964.25,28949.75,28962.25,0
2026-08-03 23:23:00,28962.25,28976,28960.5,28969.25,0
2026-08-03 23:24:00,28967.75,28972.75,28965,28971.75,0
2026-08-03 23:25:00,28971.75,28975.25,28970.5,28972.5,0
2026-08-03 23:26:00,28971.5,28973,28967.5,28973,0
2026-08-03 23:27:00,28973.5,28981,28970,28981,0
2026-08-03 23:28:00,28980,28986,28972.25,28972.25,0
2026-08-03 23:29:00,28973,28976.75,28969.25,28976.75,0
2026-08-03 23:30:00,28977.25,28989,28977,28989,0
2026-08-03 23:31:00,28988.75,28992,28983.75,28985.5,0
2026-08-03 23:32:00,28985.25,29004.5,28984.5,28999.75,0
2026-08-03 23:33:00,29001.25,29001.25,28994.25,28998,0
2026-08-03 23:34:00,28998.5,29001.25,28994.25,28996.5,0
2026-08-03 23:35:00,28995.25,28999.25,28991,28996,0
2026-08-03 23:36:00,28997.25,28997.5,28986.5,28992.25,0
2026-08-03 23:37:00,28991.5,28993.5,28987.5,28987.75,0
2026-08-03 23:38:00,28988,28995.25,28984.5,28989.75,0
2026-08-03 23:39:00,28990,28992,28985.5,28988.5,0
